BehaviorSpace results (NetLogo 5.0.4),,,,,,,,,,,,,,,,num-cliques,social-butterflies?,,,,infection-chance
Safe_Sex_Attitudes_and_Behaviors-modelingcommons-tue.nlogo,,,,min-pxcor,max-pxcor,,,,,,,,,,,5,FALSE,,,,30
infect-1-5cliquesof7-4friends-nobutterflies-femalesymp,,,,-15,15,,,,,,,,,,,clique-size,,avg-female-condom-intention,,,symptomatic?
06/23/2013 20:20:59:378 -0700,,,,min-pycor,max-pycor,,,,,,,,,,,7,,80,,,"""females-symptomatic?"""
,,,,-15,15,,,,,,,,,,,avg-num-friends,,avg-male-condom-intention,,,show-labels?
,,,,,,,,,,,,,,,,4,,20,,,FALSE
,,,,,,,,,,,,,,,,,,,,,
[run number],%-receive-condom-sex-ed,avg-mesosystem-condom-encouragement,[step],%infected,%M-infected,%F-infected,avg-safe-sex-likelihood,avg-attitude,avg-justification,avg-certainty,,avg-male-safe-sex-likelihood,avg-female-safe-sex-likelihood,avg-male-attitude,avg-female-attitude,avg-male-justification,avg-female-justification,,,avg-male-certainty,avg-female-certainty
1,10,10,921,2.857142857,0,5.882352941,38.22513347,50.02169551,2.857142857,99.99946729,,23.05127457,54.2915723,21.10254914,80.64196813,0,5.882352941,,,99.99896417,100
2,10,10,916,20,5.555555556,35.29411765,42.41115474,51.25088091,17.14285714,99.99808083,,23.15927578,62.79549717,21.31855156,82.94393551,0,35.29411765,,,100,99.99604877
3,10,10,921,2.857142857,0,5.882352941,37.72182979,49.01508815,2.857142857,99.99804794,,23.59173856,52.68310285,22.18347713,77.42502923,0,5.882352941,,,99.99620433,100
4,10,10,916,2.857142857,0,5.882352941,38.42480426,50.42103708,2.857142857,99.9980585,,23.3106051,54.42807395,21.6212102,80.91497144,0,5.882352941,,,99.99622487,100
5,10,10,926,31.42857143,5.555555556,58.82352941,47.04215001,54.79858573,28.57142857,99.99932918,,23.16102488,72.32804721,21.32204976,90.24432971,0,58.82352941,,,99.99869563,100
6,10,20,825,20,5.555555556,35.29411765,43.27405607,52.97668357,17.14285714,99.99877715,,23.31985235,64.40203649,21.63970469,86.15701415,0,35.29411765,,,99.99762223,100
7,10,20,834,2.857142857,0,5.882352941,39.06586138,51.70315134,2.857142857,99.99949019,,24.07024611,54.94357167,23.14049222,81.94596688,0,5.882352941,,,99.99900871,100
8,10,20,828,28.57142857,5.555555556,52.94117647,47.05011336,56.24307893,25.71428571,99.9993433,,23.93019683,71.53002497,22.86039367,91.58945155,0,52.94117647,,,100,99.99864797
9,10,20,832,2.857142857,0,5.882352941,38.63308292,50.83759442,2.857142857,99.99866772,,22.69251516,55.51133115,20.38503032,83.08148582,0,5.882352941,,,100,99.99725708
10,10,20,847,2.857142857,0,5.882352941,38.36332138,50.29807132,2.857142857,99.99849055,,23.58928702,54.00641658,22.17857403,80.07165669,0,5.882352941,,,100,99.9968923
11,10,30,750,22.85714286,5.555555556,41.17647059,44.60802633,54.21605267,20,99.99966091,,23.04309776,67.44148011,21.08619553,89.29472493,0,41.17647059,,,99.99934066,100
12,10,30,755,2.857142857,0,5.882352941,38.75468782,51.0808042,2.857142857,99.99865173,,24.59553415,53.74673287,24.1910683,79.55228927,0,5.882352941,,,100,99.99722416
13,10,30,770,2.857142857,0,5.882352941,38.57824246,50.72791349,2.857142857,99.99928741,,23.37846565,54.67212378,21.7569313,81.4030711,0,5.882352941,,,100,99.9985329
14,10,30,757,14.28571429,5.555555556,23.52941176,41.91441366,53.11454162,11.42857143,99.99726536,,25.46072816,59.33596302,25.92145632,81.90722017,0,23.52941176,,,100,99.99436985
15,10,30,757,2.857142857,0,5.882352941,37.97005547,49.51153952,2.857142857,99.99822882,,23.27793244,53.52642104,21.55586488,79.1116656,0,5.882352941,,,100,99.99635344
16,10,40,672,14.28571429,5.555555556,23.52941176,41.09761343,51.48094115,11.42857143,99.99716902,,22.88140572,60.38536277,20.76281144,84.00601966,0,23.52941176,,,99.99449531,100
